"table_name","column_name","data_type"
audit_logs,id,integer
audit_logs,user_id,integer
audit_logs,timestamp,timestamp with time zone
audit_logs,action_type,text
audit_logs,entity_type,text
audit_logs,entity_id,integer
audit_logs,field_changed,text
audit_logs,old_value,text
audit_logs,new_value,text
audit_logs,ip_address,text
contacts,id,integer
contacts,customer_id,integer
contacts,name,text
contacts,position,text
contacts,phone,text
contacts,email,text
contacts,notes,text
contacts,created_at,timestamp with time zone
contacts,updated_at,timestamp with time zone
customer_attribute_definitions,id,integer
customer_attribute_definitions,attribute_key,character varying
customer_attribute_definitions,attribute_name,character varying
customer_attribute_definitions,attribute_type,character varying
customer_attribute_definitions,max_length,integer
customer_attribute_definitions,min_value,numeric
customer_attribute_definitions,max_value,numeric
customer_attribute_definitions,allowed_values,text
customer_attribute_definitions,is_required,boolean
customer_attribute_definitions,display_order,integer
customer_attribute_definitions,group_name,character varying
customer_attribute_definitions,description,text
customer_attribute_definitions,help_text,text
customer_attribute_definitions,is_active,boolean
customer_attribute_definitions,created_by,character varying
customer_attribute_definitions,created_date,timestamp without time zone
customer_attribute_definitions,modified_by,character varying
customer_attribute_definitions,modified_date,timestamp without time zone
customer_attribute_history,id,integer
customer_attribute_history,customer_id,integer
customer_attribute_history,attribute_id,integer
customer_attribute_history,old_string_value,character varying
customer_attribute_history,old_integer_value,integer
customer_attribute_history,old_decimal_value,numeric
customer_attribute_history,old_boolean_value,boolean
customer_attribute_history,old_date_value,date
customer_attribute_history,old_text_value,text
customer_attribute_history,old_json_value,jsonb
customer_attribute_history,new_string_value,character varying
customer_attribute_history,new_integer_value,integer
customer_attribute_history,new_decimal_value,numeric
customer_attribute_history,new_boolean_value,boolean
customer_attribute_history,new_date_value,date
customer_attribute_history,new_text_value,text
customer_attribute_history,new_json_value,jsonb
customer_attribute_history,change_type,character varying
customer_attribute_history,changed_by,character varying
customer_attribute_history,changed_date,timestamp without time zone
customer_attributes,id,integer
customer_attributes,customer_id,integer
customer_attributes,attribute_id,integer
customer_attributes,string_value,character varying
customer_attributes,integer_value,integer
customer_attributes,decimal_value,numeric
customer_attributes,boolean_value,boolean
customer_attributes,date_value,date
customer_attributes,text_value,text
customer_attributes,json_value,jsonb
customer_attributes,created_by,character varying
customer_attributes,created_date,timestamp without time zone
customer_attributes,modified_by,character varying
customer_attributes,modified_date,timestamp without time zone
customer_billing_addresses,id,integer
customer_billing_addresses,customer_id,integer
customer_billing_addresses,name,character varying
customer_billing_addresses,address_line_1,character varying
customer_billing_addresses,address_line_2,character varying
customer_billing_addresses,city,character varying
customer_billing_addresses,state,character varying
customer_billing_addresses,zip_code,character varying
customer_billing_addresses,is_active,boolean
customer_billing_addresses,created_date,timestamp without time zone
customer_contact_log,id,integer
customer_contact_log,customer_id,integer
customer_contact_log,contact_date,date
customer_contact_log,made_by,character varying
customer_contact_log,contact_person,character varying
customer_contact_log,subject,character varying
customer_contact_log,notes,text
customer_contact_log,created_date,timestamp without time zone
customer_contacts,id,integer
customer_contacts,customer_id,integer
customer_contacts,first_name,character varying
customer_contacts,last_name,character varying
customer_contacts,position,character varying
customer_contacts,phone,character varying
customer_contacts,extension,character varying
customer_contacts,email,character varying
customer_contacts,receives_ready_notice,boolean
customer_contacts,is_primary,boolean
customer_contacts,is_active,boolean
customer_contacts,created_date,timestamp without time zone
customer_parts,id,integer
customer_parts,customer_id,integer
customer_parts,part_number,character varying
customer_parts,part_description,character varying
customer_parts,process_description,character varying
